year,acres_planted,acres_harvested,production_bushels,yield_bu_per_acre
2015,11700000.0,11500000.0,2012500000.0,175.0
2016,11600000.0,11450000.0,2255650000.0,197.0
2017,11200000.0,11080510.0,2187782071.0,201.0
2018,11000000.0,10800000.0,2268000000.0,210.0
2019,10500000.0,10200000.0,1846200000.0,181.0
2020,11300000.0,11100000.0,2120100000.0,191.0
2021,11000000.0,10850000.0,2191700000.0,202.0
2022,10800000.0,10421518.0,2143284486.0,214.0
2023,11200000.0,11050000.0,2276300000.0,206.0
2024,10800000.0,10650000.0,2311050000.0,217.0
2025,11200000.0,11000000.0,2409000000.0,219.0
